"","Date","Vendite_1","Scontrini_1","Vendite_2","Scontrini_2","Vendite_3","Scontrini_3","Vendite_4","Scontrini_4","Vendite_5","Scontrini_5","Vendite_6","Scontrini_6","week_day"
"218",2017-08-06,7417.58,936,7895.9,781,0,0,2412.86,541,5579.59,717,0,0,"Sunday"
"219",2017-08-07,4736.04,650,5685.88,616,0,0,2164.41,599,4683.21,710,0,0,"Monday"
"220",2017-08-08,5108.44,650,5617.1,633,0,0,2497.64,600,5012.69,694,0,0,"Tuesday"
"221",2017-08-09,5452.95,717,5510.79,599,0,0,2332.21,591,5057.21,733,0,0,"Wednesday"
"222",2017-08-10,6466.89,823,6588.14,680,0,0,2420.07,562,5111.12,711,0,0,"Thursday"
"223",2017-08-11,6635.19,824,8021.45,800,0,0,3146.21,635,6132,842,0,0,"Friday"
"224",2017-08-12,8387.69,1069,7985.99,854,0,0,3359.84,736,6601.32,877,0,0,"Saturday"
"225",2017-08-13,6279.32,781,6115.5,611,0,0,2565.74,587,4694.23,620,0,0,"Sunday"
"226",2017-08-14,5700.29,698,6227.55,657,0,0,2951.78,708,5148.3,672,0,0,"Monday"
"227",2017-08-15,4466.48,513,5327.33,528,0,0,0,0,4675.32,627,0,0,"Tuesday"
"228",2017-08-16,4926.44,617,5947.55,629,0,0,3289.4,720,5022.78,711,0,0,"Wednesday"
"229",2017-08-17,4820.53,622,5723.11,609,0,0,2543.52,629,4828.88,703,0,0,"Thursday"
"230",2017-08-18,5268.82,702,7526.32,830,0,0,2888.66,695,5315.96,761,0,0,"Friday"
"231",2017-08-19,7581.11,944,8429.01,848,0,0,3284.05,701,6053.55,828,0,0,"Saturday"
"232",2017-08-20,6208.89,693,6956.65,730,0,0,2658.15,577,5788.83,722,0,0,"Sunday"
"233",2017-08-21,4853.93,626,6862.26,719,0,0,2730.55,634,5252.26,718,0,0,"Monday"
"234",2017-08-22,4941,616,6054.41,680,0,0,2628.9,594,4858.24,725,0,0,"Tuesday"
"235",2017-08-23,4971,670,6208.56,703,0,0,2480.52,582,5462.81,774,0,0,"Wednesday"
"236",2017-08-24,5476.38,694,6560.1,686,0,0,2605.84,615,4952.44,702,0,0,"Thursday"
"237",2017-08-25,5729.78,711,7632.71,854,0,0,2670.06,618,5980.41,841,0,0,"Friday"
"238",2017-08-26,8378.65,1040,9643.69,990,0,0,3323.41,718,6822.4,914,0,0,"Saturday"
"239",2017-08-27,6980.54,781,8138.27,787,0,0,2640.37,527,6338.83,818,0,0,"Sunday"
"240",2017-08-28,5637.4,684,6243.53,698,0,0,2820.24,634,4986.96,727,0,0,"Monday"
"241",2017-08-29,5418.62,642,6332.41,696,0,0,2505.72,588,5053.1,761,0,0,"Tuesday"
"242",2017-08-30,5876.1,705,6856.35,748,0,0,2591.08,594,5312.37,731,0,0,"Wednesday"
"243",2017-08-31,6616.55,808,7522.86,807,0,0,2597.67,576,6703.32,886,0,0,"Thursday"
"244",2017-09-01,7318.58,864,9584.82,1006,0,0,3378.38,667,7357.08,1033,0,0,"Friday"
"245",2017-09-02,11561.96,1317,11800.61,1181,0,0,3280.83,697,9196.3,1108,0,0,"Saturday"
"246",2017-09-03,8863.51,989,9178.03,873,0,0,2664.62,542,6776.95,848,0,0,"Sunday"
"247",2017-09-04,5900.67,719,7767.89,853,0,0,3268.07,743,5556.37,824,0,0,"Monday"
"248",2017-09-05,6523.65,755,7314.01,811,0,0,3031.91,633,5308.16,736,0,0,"Tuesday"
"249",2017-09-06,6084.35,691,7152.24,733,0,0,2954.15,647,5759.87,808,0,0,"Wednesday"
"250",2017-09-07,6431.68,787,7385.57,778,0,0,2766.95,607,5846.56,753,0,0,"Thursday"
"251",2017-09-08,7237.25,795,8750.26,902,0,0,3054.88,658,7179.72,940,0,0,"Friday"
"252",2017-09-09,10660.81,1214,12156.59,1172,0,0,3561.35,725,8263.75,1007,0,0,"Saturday"
"253",2017-09-10,9485.95,1038,10693.86,972,0,0,2313.4,468,7385.57,850,0,0,"Sunday"
"254",2017-09-11,6078.36,700,7965.18,871,0,0,3452.37,703,5369.66,759,0,0,"Monday"
"255",2017-09-12,5133.74,644,8220.7,827,0,0,3171.35,701,5532.53,735,0,0,"Tuesday"
